Aseguradora,Plan,Continuidad,Edad_Min,Edad_Max,Asegurados_Min,Forma_Pago,Score_Rimac,Cliente_Rimac,Salud,Mes,Porcentaje_Descuento
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Contado,Bueno,Si,TODOS,Julio,31
Rímac Seguros,Salud Preferencial,Continuidad,0,65,1,TODOS,Bueno,TODOS,TODOS,Julio,10
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Ambar,No,TODOS,Julio,21
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Ambar,No,TODOS,Julio,23
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Contado,Ambar,No,TODOS,Julio,25
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Ambar,Si,TODOS,Julio,23
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Ambar,Si,TODOS,Julio,25
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Contado,Ambar,Si,TODOS,Julio,28
Rímac Seguros,Salud Preferencial,Continuidad,0,65,1,TODOS,Ambar,TODOS,TODOS,Julio,5
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Contado,Rojo,No,TODOS,Julio,5
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Contado,Rojo,Si,TODOS,Julio,5
Rímac Seguros,Salud Preferencial,Continuidad,0,65,1,TODOS,Rojo,TODOS,TODOS,Julio,0
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Gris,No,TODOS,Julio,19
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Gris,No,TODOS,Julio,21
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Contado,Gris,No,TODOS,Julio,22
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Gris,Si,TODOS,Julio,21
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Gris,Si,TODOS,Julio,23
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Contado,Gris,Si,TODOS,Julio,25
Rímac Seguros,Salud Preferencial,Continuidad,0,65,1,TODOS,Gris,TODOS,TODOS,Julio,10
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Bueno,No,TODOS,Julio,19
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Bueno,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Contado,Bueno,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Bueno,Si,TODOS,Julio,21
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Bueno,Si,TODOS,Julio,22
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Contado,Bueno,Si,TODOS,Julio,24
Rímac Seguros,Oro - Plan preferente,Continuidad,60,90,1,TODOS,Bueno,TODOS,TODOS,Julio,10
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Ambar,No,TODOS,Julio,18
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Ambar,No,TODOS,Julio,20
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Contado,Ambar,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Ambar,Si,TODOS,Julio,20
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Ambar,Si,TODOS,Julio,22
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Contado,Ambar,Si,TODOS,Julio,22
Rímac Seguros,Oro - Plan preferente,Continuidad,60,90,1,TODOS,Ambar,TODOS,TODOS,Julio,5
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Contado,Rojo,No,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Contado,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Continuidad,60,90,1,TODOS,Rojo,TODOS,TODOS,Julio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Gris,No,TODOS,Julio,16
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Gris,No,TODOS,Julio,17
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Contado,Gris,No,TODOS,Julio,18
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,1,Mensual,Gris,Si,TODOS,Julio,17
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Mensual,Gris,Si,TODOS,Julio,19
Rímac Seguros,Oro - Plan preferente,Nuevo,60,90,2,Contado,Gris,Si,TODOS,Julio,19
Rímac Seguros,Oro - Plan preferente,Continuidad,60,90,1,TODOS,Gris,TODOS,TODOS,Julio,10
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Bueno,No,TODOS,Julio,19
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Bueno,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Contado,Bueno,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Bueno,Si,TODOS,Julio,21
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Bueno,Si,TODOS,Julio,22
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Contado,Bueno,Si,TODOS,Julio,24
Rímac Seguros,Oro - Plan Red,Continuidad,60,90,1,TODOS,Bueno,TODOS,TODOS,Julio,10
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Ambar,No,TODOS,Julio,18
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Ambar,No,TODOS,Julio,20
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Contado,Ambar,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Ambar,Si,TODOS,Julio,20
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Ambar,Si,TODOS,Julio,22
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Contado,Ambar,Si,TODOS,Julio,22
Rímac Seguros,Oro - Plan Red,Continuidad,60,90,1,TODOS,Ambar,TODOS,TODOS,Julio,5
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Contado,Rojo,No,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Contado,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Continuidad,60,90,1,TODOS,Rojo,TODOS,TODOS,Julio,0
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Gris,No,TODOS,Julio,16
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Gris,No,TODOS,Julio,17
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Contado,Gris,No,TODOS,Julio,18
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,1,Mensual,Gris,Si,TODOS,Julio,17
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Mensual,Gris,Si,TODOS,Julio,19
Rímac Seguros,Oro - Plan Red,Nuevo,60,90,2,Contado,Gris,Si,TODOS,Julio,19
Rímac Seguros,Oro - Plan Red,Continuidad,60,90,1,TODOS,Gris,TODOS,TODOS,Julio,10
Rímac Seguros,Oro - Plan Completo,Nuevo,60,90,1,Mensual,Bueno,No,TODOS,Julio,19
Rímac Seguros,Oro - Plan Completo,Nuevo,60,90,2,Mensual,Bueno,No,TODOS,Julio,21
Rímac Seguros,Oro - Plan Completo,Nuevo,60,90,1,Contado,Bueno,No,TODOS,Julio,21
